TimeGenerated [UTC],DeviceName,ActionType,LocalIP,LocalPort,RemoteIP,RemotePort,InitiatingProcessFileName,failed_connections
"4/2/2025, 9:40:18.337 PM",felix-win10,ConnectionFailed,10.0.0.121,51259,REDACTED IP,80,windowsazureguestagent.exe,1
"4/2/2025, 9:40:19.358 PM",felix-win10,ConnectionFailed,10.0.0.121,51260,REDACTED IP,32526,windowsazureguestagent.exe,1
"4/2/2025, 9:40:20.649 PM",felix-win10,ConnectionFailed,10.0.0.121,51261,REDACTED IP,443,windowsazureguestagent.exe,1
"4/2/2025, 9:40:32.270 PM",felix-win10,ConnectionFailed,10.0.0.121,51265,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 9:40:32.270 PM",felix-win10,ConnectionFailed,10.0.0.121,51266,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 9:40:36.999 PM",felix-win10,ConnectionFailed,10.0.0.121,51267,REDACTED IP,80,waappagent.exe,1
"4/2/2025, 9:40:42.051 PM",felix-win10,ConnectionFailed,10.0.0.121,51271,REDACTED IP,80,windowsazureguestagent.exe,1
"4/2/2025, 9:40:43.040 PM",felix-win10,ConnectionFailed,10.0.0.121,51273,REDACTED IP,80,waappagent.exe,1
"4/2/2025, 9:40:56.591 PM",felix-win10,ConnectionFailed,10.0.0.121,51285,REDACTED IP,32526,waappagent.exe,1
"4/2/2025, 9:41:59.540 PM",felix-win10,ConnectionFailed,10.0.0.121,51311,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:42:05.186 PM",felix-win10,ConnectionFailed,10.0.0.121,51315,REDACTED IP,80,gc_service.exe,1
"4/2/2025, 9:43:07.807 PM",felix-win10,ConnectionFailed,10.0.0.121,51350,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 9:44:59.824 PM",felix-win10,ConnectionFailed,10.0.0.121,51415,REDACTED IP,443,onedrivestandaloneupdater.exe,1
"4/2/2025, 9:48:52.763 PM",felix-win10,ConnectionFailed,10.0.0.121,51526,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:48:55.768 PM",felix-win10,ConnectionFailed,10.0.0.121,51528,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:49:03.786 PM",felix-win10,ConnectionFailed,10.0.0.121,51532,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:49:32.788 PM",felix-win10,ConnectionFailed,10.0.0.121,51546,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:50:47.800 PM",felix-win10,ConnectionFailed,10.0.0.121,51583,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:54:19.822 PM",felix-win10,ConnectionFailed,10.0.0.121,51684,REDACTED IP,443,svchost.exe,1
"4/2/2025, 9:58:51.394 PM",felix-win10,ConnectionFailed,10.0.0.121,51815,REDACTED IP,80,wasecagentprov.exe,1
"4/2/2025, 9:59:46.316 PM",felix-win10,ConnectionFailed,10.0.0.121,51882,REDACTED IP,443,msedge.exe,1
"4/2/2025, 9:59:46.316 PM",felix-win10,ConnectionFailed,10.0.0.121,51883,REDACTED IP,443,msedge.exe,1
"4/2/2025, 10:00:59.651 PM",felix-win10,ConnectionFailed,10.0.0.121,51976,REDACTED IP,80,collectguestlogs.exe,1
"4/2/2025, 10:00:59.653 PM",felix-win10,ConnectionFailed,10.0.0.121,51977,REDACTED IP,32526,collectguestlogs.exe,1
"4/2/2025, 10:03:23.467 PM",felix-win10,ConnectionFailed,10.0.0.121,52158,REDACTED IP,80,gc_worker.exe,1
"4/2/2025, 10:05:31.499 PM",felix-win10,ConnectionFailed,10.0.0.121,52256,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:09:19.955 PM",felix-win10,ConnectionFailed,10.0.0.121,52391,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:24:20.093 PM",felix-win10,ConnectionFailed,10.0.0.121,52824,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:37:09.818 PM",felix-win10,ConnectionFailed,10.0.0.121,53190,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:37:09.818 PM",felix-win10,ConnectionFailed,10.0.0.121,53191,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:37:09.818 PM",felix-win10,ConnectionFailed,10.0.0.121,53192,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:37:09.818 PM",felix-win10,ConnectionFailed,10.0.0.121,53193,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:37:09.818 PM",felix-win10,ConnectionFailed,10.0.0.121,53194,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:39:20.220 PM",felix-win10,ConnectionFailed,10.0.0.121,53260,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:40:30.610 PM",felix-win10,ConnectionFailed,10.0.0.121,53293,REDACTED IP,443,mousocoreworker.exe,1
"4/2/2025, 10:40:31.927 PM",felix-win10,ConnectionFailed,10.0.0.121,53301,REDACTED IP,443,mousocoreworker.exe,1
"4/2/2025, 10:40:32.646 PM",felix-win10,ConnectionFailed,10.0.0.121,53302,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:40:34.262 PM",felix-win10,ConnectionFailed,10.0.0.121,53305,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:40:34.336 PM",felix-win10,ConnectionFailed,10.0.0.121,53306,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:40:34.427 PM",felix-win10,ConnectionFailed,10.0.0.121,53307,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:40:37.265 PM",felix-win10,ConnectionFailed,10.0.0.121,53319,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:40:49.508 PM",felix-win10,ConnectionFailed,10.0.0.121,53337,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:40:52.814 PM",felix-win10,ConnectionFailed,10.0.0.121,53344,REDACTED IP,443,mousocoreworker.exe,1
"4/2/2025, 10:41:01.402 PM",felix-win10,ConnectionFailed,10.0.0.121,53367,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:41:14.286 PM",felix-win10,ConnectionFailed,10.0.0.121,53431,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:41:17.155 PM",felix-win10,ConnectionFailed,10.0.0.121,53452,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:42:09.937 PM",felix-win10,ConnectionFailed,10.0.0.121,53531,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:42:09.937 PM",felix-win10,ConnectionFailed,10.0.0.121,53532,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:42:28.152 PM",felix-win10,ConnectionFailed,10.0.0.121,53546,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:42:28.152 PM",felix-win10,ConnectionFailed,10.0.0.121,53547,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:42:40.303 PM",felix-win10,ConnectionFailed,10.0.0.121,53555,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:43:34.723 PM",felix-win10,ConnectionFailed,10.0.0.121,53582,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:43:34.723 PM",felix-win10,ConnectionFailed,10.0.0.121,53583,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:43:34.723 PM",felix-win10,ConnectionFailed,10.0.0.121,53584,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:43:34.724 PM",felix-win10,ConnectionFailed,10.0.0.121,53585,REDACTED IP,80,svchost.exe,1
"4/2/2025, 10:54:20.338 PM",felix-win10,ConnectionFailed,10.0.0.121,53913,REDACTED IP,443,svchost.exe,1
"4/2/2025, 10:58:07.910 PM",felix-win10,ConnectionFailed,10.0.0.121,54023,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 10:58:08.102 PM",felix-win10,ConnectionFailed,10.0.0.121,54024,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 11:00:26.442 PM",felix-win10,ConnectionFailed,10.0.0.121,54097,REDACTED IP,443,svchost.exe,1
"4/2/2025, 11:03:36.376 PM",felix-win10,ConnectionFailed,10.0.0.121,54189,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:03:36.376 PM",felix-win10,ConnectionFailed,10.0.0.121,54190,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:07:36.493 PM",felix-win10,ConnectionFailed,10.0.0.121,54477,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:07:36.493 PM",felix-win10,ConnectionFailed,10.0.0.121,54478,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:09:20.442 PM",felix-win10,ConnectionFailed,10.0.0.121,54595,REDACTED IP,443,svchost.exe,1
"4/2/2025, 11:12:29.066 PM",felix-win10,ConnectionFailed,10.0.0.121,54697,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:12:29.066 PM",felix-win10,ConnectionFailed,10.0.0.121,54698,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:15:26.555 PM",felix-win10,ConnectionFailed,10.0.0.121,54788,REDACTED IP,443,svchost.exe,1
"4/2/2025, 11:16:12.499 PM",felix-win10,ConnectionFailed,10.0.0.121,54808,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:16:12.499 PM",felix-win10,ConnectionFailed,10.0.0.121,54809,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:16:12.499 PM",felix-win10,ConnectionFailed,10.0.0.121,54810,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:19:37.469 PM",felix-win10,ConnectionFailed,10.0.0.121,54911,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:20:47.206 PM",felix-win10,ConnectionFailed,10.0.0.121,54951,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 11:28:07.875 PM",felix-win10,ConnectionFailed,10.0.0.121,55168,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 11:28:07.875 PM",felix-win10,ConnectionFailed,10.0.0.121,55169,REDACTED IP,443,backgroundtaskhost.exe,1
"4/2/2025, 11:30:26.691 PM",felix-win10,ConnectionFailed,10.0.0.121,55244,REDACTED IP,443,svchost.exe,1
"4/2/2025, 11:39:39.297 PM",felix-win10,ConnectionFailed,10.0.0.121,55504,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:39:39.297 PM",felix-win10,ConnectionFailed,10.0.0.121,55505,REDACTED IP,80,svchost.exe,1
"4/2/2025, 11:45:26.840 PM",felix-win10,ConnectionFailed,10.0.0.121,55675,REDACTED IP,443,svchost.exe,1
"4/2/2025, 11:54:20.813 PM",felix-win10,ConnectionFailed,10.0.0.121,55929,REDACTED IP,443,svchost.exe,1
"4/2/2025, 11:58:08.390 PM",felix-win10,ConnectionFailed,10.0.0.121,56040,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 12:00:26.966 AM",felix-win10,ConnectionFailed,10.0.0.121,56116,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:03:41.284 AM",felix-win10,ConnectionFailed,10.0.0.121,56204,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:03:41.285 AM",felix-win10,ConnectionFailed,10.0.0.121,56205,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:08:32.464 AM",felix-win10,ConnectionFailed,10.0.0.121,56368,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:08:32.464 AM",felix-win10,ConnectionFailed,10.0.0.121,56369,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:09:20.926 AM",felix-win10,ConnectionFailed,10.0.0.121,56417,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:24:21.060 AM",felix-win10,ConnectionFailed,10.0.0.121,57083,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:30:27.182 AM",felix-win10,ConnectionFailed,10.0.0.121,57274,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:31:42.596 AM",felix-win10,ConnectionFailed,10.0.0.121,57310,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:31:42.596 AM",felix-win10,ConnectionFailed,10.0.0.121,57311,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:39:21.300 AM",felix-win10,ConnectionFailed,10.0.0.121,57537,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:39:43.009 AM",felix-win10,ConnectionFailed,10.0.0.121,57550,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:39:43.009 AM",felix-win10,ConnectionFailed,10.0.0.121,57551,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:39:43.009 AM",felix-win10,ConnectionFailed,10.0.0.121,57552,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:40:50.093 AM",felix-win10,ConnectionFailed,10.0.0.121,57596,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:41:02.156 AM",felix-win10,ConnectionFailed,10.0.0.121,57675,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:41:20.324 AM",felix-win10,ConnectionFailed,10.0.0.121,57764,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:48:35.449 AM",felix-win10,ConnectionFailed,10.0.0.121,58010,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:52:35.709 AM",felix-win10,ConnectionFailed,10.0.0.121,58118,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:52:35.710 AM",felix-win10,ConnectionFailed,10.0.0.121,58119,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:54:21.412 AM",felix-win10,ConnectionFailed,10.0.0.121,58169,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:56:35.899 AM",felix-win10,ConnectionFailed,10.0.0.121,58236,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:56:35.899 AM",felix-win10,ConnectionFailed,10.0.0.121,58237,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:00:27.328 AM",felix-win10,ConnectionFailed,10.0.0.121,58353,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:00:36.040 AM",felix-win10,ConnectionFailed,10.0.0.121,58359,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:00:36.040 AM",felix-win10,ConnectionFailed,10.0.0.121,58360,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58446,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58447,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58448,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58449,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58450,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58451,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:04:36.128 AM",felix-win10,ConnectionFailed,10.0.0.121,58481,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:04:36.128 AM",felix-win10,ConnectionFailed,10.0.0.121,58482,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:07:45.281 AM",felix-win10,ConnectionFailed,10.0.0.121,58579,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:07:45.282 AM",felix-win10,ConnectionFailed,10.0.0.121,58580,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:08:36.627 AM",felix-win10,ConnectionFailed,10.0.0.121,58612,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:09:21.543 AM",felix-win10,ConnectionFailed,10.0.0.121,58637,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:11:45.737 AM",felix-win10,ConnectionFailed,10.0.0.121,58712,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:11:45.737 AM",felix-win10,ConnectionFailed,10.0.0.121,58713,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:12:20.564 AM",felix-win10,ConnectionFailed,10.0.0.121,58735,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 1:15:27.458 AM",felix-win10,ConnectionFailed,10.0.0.121,58881,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:15:46.208 AM",felix-win10,ConnectionFailed,10.0.0.121,58905,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:15:46.208 AM",felix-win10,ConnectionFailed,10.0.0.121,58907,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:15:46.208 AM",felix-win10,ConnectionFailed,10.0.0.121,58909,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:23:46.735 AM",felix-win10,ConnectionFailed,10.0.0.121,59292,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:23:46.735 AM",felix-win10,ConnectionFailed,10.0.0.121,59293,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:24:21.658 AM",felix-win10,ConnectionFailed,10.0.0.121,59311,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:29:48.720 AM",felix-win10,ConnectionFailed,10.0.0.121,59462,REDACTED IP,80,msedge.exe,1
"4/3/2025, 1:29:48.720 AM",felix-win10,ConnectionFailed,10.0.0.121,59463,REDACTED IP,80,msedge.exe,1
"4/3/2025, 1:39:21.790 AM",felix-win10,ConnectionFailed,10.0.0.121,59745,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:41:36.080 AM",felix-win10,ConnectionFailed,10.0.0.121,59813,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:45:27.687 AM",felix-win10,ConnectionFailed,10.0.0.121,59918,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:45:36.189 AM",felix-win10,ConnectionFailed,10.0.0.121,59920,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:47:45.733 AM",felix-win10,ConnectionFailed,10.0.0.121,59984,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:48:57.385 AM",felix-win10,ConnectionFailed,10.0.0.121,60020,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 1:54:21.955 AM",felix-win10,ConnectionFailed,10.0.0.121,60197,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:00:27.789 AM",felix-win10,ConnectionFailed,10.0.0.121,60365,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:02:45.892 AM",felix-win10,ConnectionFailed,10.0.0.121,60430,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:06:16.732 AM",felix-win10,ConnectionFailed,10.0.0.121,60532,REDACTED IP,80,svchost.exe,1
"4/3/2025, 2:10:48.627 AM",felix-win10,ConnectionFailed,10.0.0.121,60690,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 2:15:27.913 AM",felix-win10,ConnectionFailed,10.0.0.121,60845,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:24:22.230 AM",felix-win10,ConnectionFailed,10.0.0.121,61312,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61369,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61370,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61371,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.391 AM",felix-win10,ConnectionFailed,10.0.0.121,61372,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:26:08.392 AM",felix-win10,ConnectionFailed,10.0.0.121,61373,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 2:30:28.011 AM",felix-win10,ConnectionFailed,10.0.0.121,61493,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:32:46.215 AM",felix-win10,ConnectionFailed,10.0.0.121,61552,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:39:49.011 AM",felix-win10,ConnectionFailed,10.0.0.121,61754,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:41:02.139 AM",felix-win10,ConnectionFailed,10.0.0.121,61788,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:41:09.162 AM",felix-win10,ConnectionFailed,10.0.0.121,61970,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:41:13.287 AM",felix-win10,ConnectionFailed,10.0.0.121,62004,REDACTED IP,443,wermgr.exe,1
"4/3/2025, 2:41:14.173 AM",felix-win10,ConnectionFailed,10.0.0.121,62010,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:41:14.272 AM",felix-win10,ConnectionFailed,10.0.0.121,62013,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:42:14.486 AM",felix-win10,ConnectionFailed,10.0.0.121,62176,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 2:46:17.696 AM",felix-win10,ConnectionFailed,10.0.0.121,62288,REDACTED IP,80,svchost.exe,1
"4/3/2025, 2:47:27.494 AM",felix-win10,ConnectionFailed,10.0.0.121,62323,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 2:47:46.380 AM",felix-win10,ConnectionFailed,10.0.0.121,62332,REDACTED IP,443,svchost.exe,1
"4/3/2025, 2:47:51.598 AM",felix-win10,ConnectionFailed,10.0.0.121,62337,REDACTED IP,443,powershell.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62525,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62526,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62527,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.097 AM",felix-win10,ConnectionFailed,10.0.0.121,62528,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62529,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62530,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62531,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:54:49.098 AM",felix-win10,ConnectionFailed,10.0.0.121,62532,REDACTED IP,443,msedge.exe,1
"4/3/2025, 2:57:14.237 AM",felix-win10,ConnectionFailed,10.0.0.121,62600,REDACTED IP,80,svchost.exe,1
"4/3/2025, 3:01:14.620 AM",felix-win10,ConnectionFailed,10.0.0.121,62716,REDACTED IP,80,svchost.exe,1
"4/3/2025, 3:02:46.539 AM",felix-win10,ConnectionFailed,10.0.0.121,62757,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:09:22.613 AM",felix-win10,ConnectionFailed,10.0.0.121,62952,REDACTED IP,443,svchost.exe,1
"4/3/2025, 3:11:56.673 AM",felix-win10,ConnectionFailed,10.0.0.121,63033,REDACTED IP,443,taskhostw.exe,1
